loan_id,payer_id,program_id,loan_amount,interest_rate,loan_term_years,loan_term_months,loan_type,institution_name,institution_city,institution_province,education_value,down_payment,ltv_ratio,origination_date,disbursement_date,maturity_date,current_balance,loan_status,lender,program_duration_years,monthly_payment,grace_period_months
1,1,29,104585.02,3.187,25,300,Professional Student Loan,Concordia University,Montreal,Quebec,132724.82121473952,28139.80121473952,78.8,2025-04-03,2025-05-20,2050-04-03,103205.33,Active,Bank of Montreal,3,506.19,6
2,2,3,106668.82,5.44,15,180,Education Line of Credit,University of Ottawa,Ottawa,Ontario,159833.17868449594,53164.358684495935,66.74,2025-06-03,2025-07-29,2040-06-03,102743.25,Active,National Bank of Canada,2,868.18,0
3,3,31,283203.14,4.232,25,300,Professional Student Loan,University of Calgary,Calgary,Alberta,337888.1281101615,54684.9881101615,83.82,2018-11-03,2022-05-11,2043-11-03,235480.42,Active,Royal Bank of Canada,5,1531.37,12
4,4,42,80133.49,12.126,20,240,Parent PLUS Loan,University of Victoria,Victoria,British Columbia,97623.1148906991,17489.624890699095,82.08,2021-09-03,2023-09-07,2041-09-03,74313.76,In Forbearance,Provincial Student Aid,2,889.39,0
5,5,36,211687.46,6.079,20,240,Parent PLUS Loan,McMaster University,Hamilton,Ontario,244914.95334543602,33227.49334543603,86.43,2020-10-03,2024-09-07,2040-10-03,179955.52,Active,Scotiabank Student Line of Credit,4,1526.26,6
6,6,1,73416.85,5.003,25,300,Student Loan,University of British Columbia,Vancouver,British Columbia,95310.43618041165,21893.586180411643,77.03,2022-04-03,2023-05-01,2047-04-03,68641.11,Active,CIBC,2,429.32,12
7,7,27,95783.95,10.126,25,300,Parent PLUS Loan,University of Alberta,Edmonton,Alberta,135019.41636940342,39235.466369403424,70.94,2025-08-03,2025-09-03,2050-08-03,95783.95,In Grace Period,Provincial Student Aid,2,878.91,12
8,8,19,68759.23,4.824,20,240,Professional Student Loan,University of Ottawa,Ottawa,Ontario,101369.34970824166,32610.119708241662,67.83,2021-07-03,2023-09-05,2041-07-03,57848.21,Active,TD Canada Trust,2,447.12,0
9,9,34,192025.31,3.599,20,240,Student Loan,McGill University,Montreal,Quebec,265078.61833371257,73053.30833371257,72.44,2023-03-03,2023-05-08,2043-03-03,177832.46,Active,RBC Student Banking,5,1123.46,12
10,10,19,226712.26,7.588,15,180,Private Education Loan,University of Ottawa,Ottawa,Ontario,336701.77511204325,109989.51511204324,67.33,2021-01-03,2023-05-13,2036-01-03,180260.58,Active,Provincial Student Aid,4,2113.0,6
11,11,29,265484.92,4.663,15,180,Student Loan,McGill University,Montreal,Quebec,416895.47491890274,151410.55491890275,63.68,2025-01-03,2025-03-04,2040-01-03,256147.24,Active,Royal Bank of Canada,5,2053.13,6
12,12,35,206374.03,4.107,20,240,Professional Student Loan,University of Ottawa,Ottawa,Ontario,241942.16035496863,35568.13035496863,85.3,2019-03-03,2023-05-06,2039-03-03,155314.35,Active,Scotiabank Student Line of Credit,5,1262.25,6
13,13,41,251654.3,9.881,15,180,Parent PLUS Loan,Memorial University,St. John's,Newfoundland,386791.6822549903,135137.38225499028,65.06,2018-12-03,2023-01-06,2033-12-03,186029.79,Active,RBC Student Banking,5,2686.0,12
14,14,34,245915.51,8.934,25,300,Private Education Loan,Concordia University,Montreal,Quebec,330766.5838822323,84851.0738822323,74.35,2020-02-03,2024-01-07,2045-02-03,226008.48,Active,Canada Student Loans Program,4,2052.61,6
15,15,26,272627.36,7.661,25,300,Education Line of Credit,Dalhousie University,Halifax,Nova Scotia,331841.3362355615,59213.97623556154,82.16,2020-05-03,2024-01-12,2045-05-03,245057.24,Active,Provincial Student Aid,5,2043.33,0
16,16,22,292680.21,4.549,15,180,Professional Student Loan,University of Ottawa,Ottawa,Ontario,435509.6906441133,142829.48064411327,67.2,2019-12-03,2023-09-03,2034-12-03,200259.94,Active,Provincial Student Aid,5,2246.32,6
17,17,9,270036.65,6.682,20,240,Education Line of Credit,University of British Columbia,Vancouver,British Columbia,305995.83231366245,35959.18231366243,88.25,2023-06-03,2023-09-01,2043-06-03,249933.45,Active,RBC Student Banking,4,2042.36,0
18,18,4,103309.68,7.049,25,300,Parent PLUS Loan,University of British Columbia,Vancouver,British Columbia,121696.32077634307,18386.640776343076,84.89,2025-03-03,2025-05-25,2050-03-03,103183.13,Active,National Bank of Canada,2,733.4,12
19,19,24,196719.58,11.021,20,240,Parent PLUS Loan,University of Toronto,Toronto,Ontario,249848.6633816198,53129.0833816198,78.74,2019-11-03,2022-09-02,2039-11-03,173737.02,Active,CIBC,4,2033.33,6
20,20,1,112259.99,3.478,20,240,Graduate Student Loan,McMaster University,Hamilton,Ontario,138090.8555678787,25830.86556787869,81.29,2024-10-03,2024-11-14,2044-10-03,106274.18,Active,RBC Student Banking,2,649.79,0
21,21,37,127533.34,4.848,20,240,Professional Student Loan,Queen's University,Kingston,Ontario,152633.47530350427,25100.13530350427,83.56,2020-05-03,2022-05-14,2040-05-03,103705.46,Active,TD Student Line of Credit,3,830.99,6
22,22,1,188198.08,10.815,15,180,Private Education Loan,McMaster University,Hamilton,Ontario,244499.7926782425,56301.712678242504,76.97,2022-05-03,2023-09-01,2037-05-03,170960.24,Active,Scotiabank Student Line of Credit,5,2117.24,12
23,23,40,76242.91,4.502,20,240,Graduate Student Loan,University of Waterloo,Waterloo,Ontario,85630.65656656187,9387.746566561866,89.04,2024-01-03,2024-09-01,2044-01-03,73218.35,Active,Provincial Student Aid,2,482.43,12
24,24,10,88783.58,4.913,20,240,Student Loan,University of Alberta,Edmonton,Alberta,133750.88684348197,44967.30684348197,66.38,2021-06-03,2022-09-02,2041-06-03,77764.78,Active,RBC Student Banking,2,581.67,12
25,25,19,205056.19,3.453,15,180,Student Loan,Dalhousie University,Halifax,Nova Scotia,264446.1615782725,59389.971578272525,77.54,2025-06-03,2025-08-30,2040-06-03,196231.18,Active,National Bank of Canada,3,1461.18,0
26,26,42,217134.11,8.389,25,300,Parent PLUS Loan,University of Toronto,Toronto,Ontario,259314.65609323292,42180.54609323293,83.73,2019-04-03,2024-09-15,2044-04-03,196817.27,Active,Provincial Student Aid,5,1732.21,12
27,27,10,142551.93,7.339,15,180,Education Line of Credit,Queen's University,Kingston,Ontario,193811.47094282776,51259.54094282776,73.55,2024-11-03,2025-01-11,2039-11-03,140341.85,In Deferment,National Bank of Canada,4,1308.47,12
28,28,35,72057.97,8.161,15,180,Private Education Loan,University of Toronto,Toronto,Ontario,120069.42163642602,48011.45163642602,60.01,2023-12-03,2024-01-21,2038-12-03,65749.84,Active,BMO Student Banking Program,2,695.34,0
29,29,6,202322.63,3.421,25,300,Professional Student Loan,Carleton University,Ottawa,Ontario,252377.101482784,50054.47148278399,80.17,2024-11-03,2025-01-24,2049-11-03,200172.73,Active,Royal Bank of Canada,3,1004.32,12
30,30,16,137832.56,3.947,20,240,Graduate Student Loan,Ryerson University,Toronto,Ontario,185364.09201517355,47531.53201517355,74.36,2023-08-03,2023-09-17,2043-08-03,127588.57,Active,CIBC,2,831.39,6
31,31,2,167599.26,5.363,25,300,Graduate Student Loan,University of Victoria,Victoria,British Columbia,226067.49600708706,58468.23600708705,74.14,2024-08-03,2024-09-09,2049-08-03,165433.53,Active,BMO Student Banking Program,3,1015.54,12
32,32,2,324705.92,3.641,25,300,Graduate Student Loan,Memorial University,St. John's,Newfoundland,389521.99632501067,64816.07632501068,83.36,2025-03-03,2025-05-06,2050-03-03,320008.33,Active,Canada Student Loans Program,5,1650.21,6
33,33,36,98819.62,4.287,20,240,Professional Student Loan,University of British Columbia,Vancouver,British Columbia,114655.93911614516,15836.319116145169,86.19,2021-06-03,2024-01-03,2041-06-03,85803.78,Active,TD Canada Trust,2,613.88,12
34,34,42,184722.24,5.943,15,180,Parent PLUS Loan,Carleton University,Ottawa,Ontario,297132.5712310693,112410.33123106929,62.17,2019-05-03,2023-05-08,2034-05-03,124134.27,Active,Scotiabank Student Line of Credit,4,1553.11,6
35,35,17,130584.31,6.387,15,180,Education Line of Credit,University of Victoria,Victoria,British Columbia,147425.83746024006,16841.52746024006,88.58,2022-07-03,2024-09-12,2037-07-03,114958.48,Active,Provincial Student Aid,2,1129.43,12
36,36,37,276623.82,10.768,20,240,Private Education Loan,Ryerson University,Toronto,Ontario,314433.3423713438,37809.5223713438,87.98,2019-08-03,2023-05-11,2039-08-03,237633.78,Active,Provincial Student Aid,4,2811.73,0
37,37,29,134857.81,9.326,25,300,Parent PLUS Loan,University of Ottawa,Ottawa,Ontario,198531.10695611758,63673.296956117585,67.93,2022-02-03,2024-05-05,2047-02-03,129844.76,Active,Scotiabank Student Line of Credit,4,1161.98,12
