payer_id,due_date,paid_date,payment_due,amount_paid,principal_payment,interest_payment,escrow_payment,late_fee,total_amount_due,remaining_balance,status,days_late,payment_method,payment_processor,transaction_id,confirmation_number,payment_type
3,2022-06-01,2022-06-02,1531.37,1531.37,532.61,998.76,500.16,0.0,2031.53,282670.53,Paid,1.0,Check,BMO Digital Banking,26AB77D7,MP892704,Regular
3,2022-07-01,2022-07-02,1531.37,1531.37,534.49,996.88,656.05,0.0,2187.42,282136.05,Paid,1.0,Check,BMO Digital Banking,F1C0A776,MP936118,Regular
3,2022-08-01,2022-08-03,1531.37,1531.37,536.37,995.0,299.28,0.0,1830.65,281599.68,Paid,2.0,Auto-Pay,BMO Digital Banking,E3CA94FE,MP965238,Regular
3,2022-09-01,2022-09-01,1531.37,1531.37,538.26,993.11,773.43,0.0,2304.8,281061.42,Paid,0.0,Mobile App,Interac,7668D6B0,MP671143,Regular
3,2022-10-01,2022-10-02,1531.37,1531.37,540.16,991.21,440.05,0.0,1971.42,280521.26,Paid,1.0,Check,TD EasyWeb,3065D94E,MP516766,Regular
3,2022-11-01,2022-11-01,1531.37,1531.37,542.07,989.3,429.81,0.0,1961.18,279979.19,Paid,0.0,Check,TD EasyWeb,0E2CB4B2,MP156345,Regular
3,2022-12-01,2022-12-02,1531.37,1531.37,543.98,987.39,331.5,0.0,1862.87,279435.21,Paid,1.0,Mobile App,Visa Debit,F4AADA58,MP996718,Regular
3,2023-01-01,2023-01-06,1531.37,1531.37,545.9,985.47,237.38,0.0,1768.75,278889.32,Paid,5.0,Online Payment,Visa Debit,B1961A8B,MP883938,Regular
3,2023-02-01,2023-02-03,1531.37,1531.37,547.82,983.55,272.62,0.0,1803.99,278341.5,Paid,2.0,Online Payment,BMO Digital Banking,3980F272,MP115785,Regular
3,2023-03-01,2023-03-05,1531.37,1531.37,549.75,981.62,750.39,0.0,2281.76,277791.75,Paid,4.0,Bank Transfer,BMO Digital Banking,222829D1,MP779331,Regular
3,2023-04-01,2023-04-03,1531.37,1531.37,551.69,979.68,582.31,0.0,2113.68,277240.06,Paid,2.0,Mobile App,RBC Online,214D1908,MP114851,Regular
3,2023-05-01,2023-05-02,1531.37,1531.37,553.64,977.73,644.61,0.0,2175.98,276686.42,Paid,1.0,Mobile App,RBC Online,251F86A4,MP420926,Regular
3,2023-06-01,2023-06-08,1531.37,1531.37,555.59,975.78,494.11,0.0,2025.48,276130.83,Paid,7.0,Online Payment,Visa Debit,6DABA923,MP113168,Regular
3,2023-07-01,2023-07-01,1531.37,1531.37,557.55,973.82,761.77,0.0,2293.14,275573.28,Paid,0.0,Phone Payment,BMO Digital Banking,8D176D5C,MP360758,Regular
3,2023-08-01,2023-08-03,1531.37,1531.37,559.51,971.86,268.2,0.0,1799.57,275013.77,Paid,2.0,Bank Transfer,RBC Online,797664E1,MP596422,Regular
3,2023-09-01,2023-09-02,1531.37,1531.37,561.49,969.88,659.58,0.0,2190.95,274452.28,Paid,1.0,Check,Interac,CCE98899,MP350041,Regular
