payer_id,age,annual_income_cad,employment_status,marital_status,city,province,loan_amount,interest_rate,loan_term_years,loan_term_months,current_balance,loan_status,monthly_payment,origination_date,maturity_date,delinquency_risk,lender,institution_name,institution_city,institution_province,program_name,field_of_study,program_type,program_difficulty,program_duration_years,graduation_rate,employment_rate_percent,average_starting_salary,total_payments_made,avg_payment_amount,late_payment_count,missed_payment_count,last_payment_date,income_category,age_group,remaining_balance_pct,payment_to_income_ratio_pct,campaign_priority,program_difficulty_label
56,31,0,Unemployed,Common-law,Toronto,Ontario,408129.13,5.101,20,240,347464.58,Active,2716.29,2021-09-08,2041-09-08,2.0,BMO Student Banking Program,Dalhousie University,Halifax,Nova Scotia,,,,,,,,,47,1850.34,0,0,2023-12-01,Low Income,Young Professional (25-34),85.14,inf,Immediate Intervention,Difficulty nan
802,27,15564,Part-time,Common-law,Red Deer,Alberta,375468.52,3.251,25,300,295855.98,Active,1829.92,2018-08-08,2043-08-08,2.0,Bank of Montreal,Carleton University,Ottawa,Ontario,Physics,Science,Bachelor's,3.0,4.0,73.4,73.4,52697.17,14,1699.2114285714285,0,1,2023-11-02,Low Income,Young Professional (25-34),78.8,141.09,Immediate Intervention,High Difficulty
530,24,0,Unemployed,Common-law,Toronto,Ontario,373733.07,7.348,25,300,355667.67,Active,2725.01,2022-03-08,2047-03-08,2.0,Bank of Montreal,University of Manitoba,Winnipeg,Manitoba,,,,,,,,,47,1661.9,0,0,2023-12-02,Low Income,Young Adult (18-24),95.17,inf,Immediate Intervention,Difficulty nan
742,25,15509,Part-time,Widowed,Victoria,British Columbia,362919.33,6.649,20,240,319252.39,Active,2737.76,2020-12-08,2040-12-08,2.0,Bank of Montreal,Queen's University,Kingston,Ontario,,,,,,,,,47,4235.63,0,0,2023-12-07,Low Income,Young Professional (25-34),87.97,211.83,Immediate Intervention,Difficulty nan
165,38,0,Unemployed,Married,Calgary,Alberta,359464.88,3.246,15,180,209341.22,Active,2525.15,2019-03-08,2034-03-08,2.0,Provincial Student Aid,University of Manitoba,Winnipeg,Manitoba,Network Administration,Technology,Certificate,2.0,2.0,79.4,79.4,53377.98,23,2525.15,0,0,2023-12-03,Low Income,Mid-Career (35-49),58.24,inf,Immediate Intervention,Medium Difficulty
520,43,0,Unemployed,Married,Brandon,Manitoba,357969.9,3.562,15,180,239026.2,Active,2569.98,2020-06-08,2035-06-08,2.0,National Bank of Canada,University of Victoria,Victoria,British Columbia,Mathematics,Science,Bachelor's,3.0,4.0,73.0,73.0,59771.34,2,2569.98,0,0,2023-12-03,Low Income,Mid-Career (35-49),66.77,inf,Immediate Intervention,High Difficulty
925,40,22292,Part-time,Common-law,Steinbach,Manitoba,346677.49,4.739,20,240,305001.15,Active,2238.23,2021-08-08,2041-08-08,2.0,BMO Student Banking Program,Memorial University,St. John's,Newfoundland,,,,,,,,,47,4342.57,0,0,2023-12-03,Low Income,Mid-Career (35-49),87.98,120.49,Immediate Intervention,Difficulty nan
978,37,64348,Full-time,Common-law,Winnipeg,Manitoba,335802.12,11.659,25,300,319757.72,Active,3452.43,2020-08-08,2045-08-08,2.0,National Bank of Canada,Queen's University,Kingston,Ontario,Aerospace Engineering,Engineering,Bachelor's,3.0,4.0,80.0,80.0,74705.15,19,3452.43,0,0,2023-12-03,Medium Income,Mid-Career (35-49),95.22,64.38,Immediate Intervention,High Difficulty
962,18,0,Unemployed,Divorced,Red Deer,Alberta,334199.62,8.549,20,240,275470.54,Active,2910.63,2019-01-08,2039-01-08,2.0,National Bank of Canada,University of Alberta,Edmonton,Alberta,Mathematics,Science,Bachelor's,3.0,4.0,73.0,73.0,59771.34,11,2910.63,0,0,2023-12-03,Low Income,Young Adult (18-24),82.43,inf,Immediate Intervention,High Difficulty
980,23,18984,Part-time,Common-law,Quebec City,Quebec,332212.42,10.179,20,240,316013.93,Active,3245.42,2022-07-08,2042-07-08,2.0,National Bank of Canada,York University,Toronto,Ontario,,,,,,,,,47,2982.48,0,0,2023-12-03,Low Income,Young Adult (18-24),95.12,205.15,Immediate Intervention,Difficulty nan
